freq,Amp1,Amp2,dif
0,0,0,0
0.009579,4.835128,7.346253,2.511125
0.019157,23.201708,29.312877,6.111169
0.028736,20.9258,18.098236,-2.827564
0.038314,8.295535,9.407967,1.112432
0.047893,1.638234,4.670092,3.031858
0.057471,3.941163,5.806726,1.865563
0.06705,5.437533,3.274477,-2.163056
0.076628,1.486082,5.072208,3.586126
0.086207,2.659678,3.381988,0.72231
0.095785,1.89137,3.819344,1.927974
0.105364,1.933075,1.527034,-0.406041
0.114943,2.200216,2.96972,0.769504
0.124521,1.300405,2.396578,1.096173
0.1341,0.482615,0.851739,0.369124
0.143678,1.481584,4.25715,2.775566
0.153257,1.210371,1.732538,0.522167
0.162835,1.420653,3.907817,2.487164
0.172414,1.946435,1.235604,-0.710831
0.181992,1.731153,2.79033,1.059177
0.191571,0.928114,1.077761,0.149647
0.201149,0.976119,2.765262,1.789143
0.210728,1.240887,1.499065,0.258178
0.220307,0.847454,1.905434,1.05798
0.229885,0.646014,1.512372,0.866358
0.239464,0.732755,1.036108,0.303353
0.249042,0.54906,1.314603,0.765543
0.258621,1.23977,0.934359,-0.305411
0.268199,0.518497,1.367159,0.848662
0.277778,0.620616,0.82849,0.207874
0.287356,0.712513,0.793855,0.081342
0.296935,0.447364,0.719536,0.272172
0.306513,0.49851,0.637474,0.138964
0.316092,0.325661,0.987431,0.66177
0.32567,0.16856,1.112557,0.943997
0.335249,0.205114,0.727351,0.522237
0.344828,0.339103,0.891424,0.552321
0.354406,0.406968,0.571134,0.164166
0.363985,0.765588,0.867274,0.101686
0.373563,0.557959,0.862065,0.304106
0.383142,0.607808,0.850629,0.242821
0.39272,0.370745,0.890879,0.520134
0.402299,0.545089,0.62335,0.078261
0.411877,0.397966,0.62012,0.222154
0.421456,0.34918,0.817435,0.468255
0.431034,0.425015,0.780516,0.355501
0.440613,0.45153,1.063494,0.611964
0.450192,0.598008,0.774907,0.176899
0.45977,0.433761,0.955615,0.521854
0.469349,0.388329,0.61907,0.230741
0.478927,0.392498,0.728311,0.335813
0.488506,0.42539,0.682102,0.256712
0.498084,0.297112,0.771587,0.474475
0.507663,0.219235,0.803603,0.584368
0.517241,0.286109,0.734216,0.448107
0.52682,0.366871,0.616468,0.249597
0.536398,0.423913,0.43424,0.010327
0.545977,0.339319,0.289403,-0.049916
0.555556,0.329511,0.334455,0.004944
0.565134,0.21454,0.372918,0.158378
0.574713,0.261339,0.40235,0.141011
0.584291,0.328721,0.483146,0.154425
0.59387,0.355242,0.301586,-0.053656
0.603448,0.302564,0.403699,0.101135
0.613027,0.22691,0.255676,0.028766
0.622605,0.211427,0.4317,0.220273
0.632184,0.233582,0.362982,0.1294
0.641762,0.24081,0.432182,0.191372
0.651341,0.16403,0.394068,0.230038
0.66092,0.210208,0.340576,0.130368
0.670498,0.20854,0.341895,0.133355
0.680077,0.294289,0.33419,0.039901
0.689655,0.219108,0.381882,0.162774
0.699234,0.227697,0.457283,0.229586
0.708812,0.216942,0.41693,0.199988
0.718391,0.28124,0.460027,0.178787
0.727969,0.231536,0.356519,0.124983
0.737548,0.249013,0.383069,0.134056
0.747126,0.261595,0.40197,0.140375
0.756705,0.287695,0.397442,0.109747
0.766284,0.288111,0.436198,0.148087
0.775862,0.28311,0.389175,0.106065
0.785441,0.267777,0.350537,0.08276
0.795019,0.210989,0.389027,0.178038
0.804598,0.216729,0.337675,0.120946
0.814176,0.182987,0.387769,0.204782
0.823755,0.20694,0.314203,0.107263
0.833333,0.208689,0.285716,0.077027
0.842912,0.14572,0.2866,0.14088
0.85249,0.208765,0.248067,0.039302
0.862069,0.205798,0.336399,0.130601
0.871648,0.202646,0.292715,0.090069
0.881226,0.186055,0.352964,0.166909
0.890805,0.164909,0.284609,0.1197
0.900383,0.159437,0.325823,0.166386
0.909962,0.200678,0.282471,0.081793
0.91954,0.163993,0.329718,0.165725
0.929119,0.142706,0.307785,0.165079
0.938697,0.180312,0.339857,0.159545
0.948276,0.170694,0.3039,0.133206
0.957854,0.172283,0.30203,0.129747
0.967433,0.190806,0.290743,0.099937
0.977011,0.172333,0.28292,0.110587
0.98659,0.184343,0.292016,0.107673
0.996169,0.164132,0.281999,0.117867
1.005747,0.165167,0.288979,0.123812
1.015326,0.156479,0.271115,0.114636
1.024904,0.167556,0.268061,0.100505
1.034483,0.148841,0.295249,0.146408
1.044061,0.159152,0.277018,0.117866
1.05364,0.162366,0.292607,0.130241
1.063218,0.155947,0.270159,0.114212
1.072797,0.155197,0.26677,0.111573
1.082375,0.158642,0.258143,0.099501
1.091954,0.157755,0.257962,0.100207
1.101533,0.159892,0.250197,0.090305
1.111111,0.150447,0.256591,0.106144
1.12069,0.139507,0.220741,0.081234
1.130268,0.158925,0.264059,0.105134
1.139847,0.152222,0.229379,0.077157
1.149425,0.138726,0.250006,0.11128
1.159004,0.146805,0.229253,0.082448
1.168582,0.149904,0.224462,0.074558
1.178161,0.133426,0.233154,0.099728
1.187739,0.141602,0.228012,0.08641
1.197318,0.139274,0.264227,0.124953
1.206897,0.135272,0.242556,0.107284
1.216475,0.138886,0.261272,0.122386
1.226054,0.131783,0.226289,0.094506
1.235632,0.117274,0.259929,0.142655
1.245211,0.140637,0.221239,0.080602
1.254789,0.12902,0.253356,0.124336
1.264368,0.143831,0.225469,0.081638
1.273946,0.149995,0.228182,0.078187
1.283525,0.154181,0.217823,0.063642
1.293103,0.133034,0.215664,0.08263
1.302682,0.133247,0.230407,0.09716
1.312261,0.13623,0.216929,0.080699
1.321839,0.127459,0.239867,0.112408
1.331418,0.131919,0.215473,0.083554
1.340996,0.110069,0.21782,0.107751
1.350575,0.119297,0.199655,0.080358
1.360153,0.143597,0.19712,0.053523
1.369732,0.122798,0.213147,0.090349
1.37931,0.120592,0.20871,0.088118
1.388889,0.121379,0.205265,0.083886
1.398467,0.107558,0.206207,0.098649
1.408046,0.110897,0.180498,0.069601
1.417625,0.09535,0.202883,0.107533
1.427203,0.09103,0.207108,0.116078
1.436782,0.104734,0.204636,0.099902
1.44636,0.111778,0.215839,0.104061
1.455939,0.11645,0.176605,0.060155
1.465517,0.13682,0.193975,0.057155
1.475096,0.122618,0.190712,0.068094
1.484674,0.130486,0.211227,0.080741
1.494253,0.107261,0.233028,0.125767
1.503831,0.12056,0.22014,0.09958
1.51341,0.107414,0.225064,0.11765
1.522989,0.112218,0.19826,0.086042
1.532567,0.102673,0.201678,0.099005
1.542146,0.120088,0.191664,0.071576
1.551724,0.129035,0.199547,0.070512
1.561303,0.118312,0.201282,0.08297
1.570881,0.107931,0.200275,0.092344
1.58046,0.112758,0.194189,0.081431
1.590038,0.115985,0.178084,0.062099
1.599617,0.105744,0.157851,0.052107
1.609195,0.09797,0.164307,0.066337
1.618774,0.092331,0.156534,0.064203
1.628352,0.108465,0.173082,0.064617
1.637931,0.119472,0.173347,0.053875
1.64751,0.116384,0.158606,0.042222
1.657088,0.110106,0.164454,0.054348
1.666667,0.099328,0.144949,0.045621
1.676245,0.097187,0.167032,0.069845
1.685824,0.096676,0.162013,0.065337
1.695402,0.104724,0.166346,0.061622
1.704981,0.103638,0.164167,0.060529
1.714559,0.094601,0.149451,0.05485
1.724138,0.089778,0.154793,0.065015
1.733716,0.097385,0.145653,0.048268
1.743295,0.094583,0.165685,0.071102
1.752874,0.087256,0.162679,0.075423
1.762452,0.089025,0.175483,0.086458
1.772031,0.092193,0.177842,0.085649
1.781609,0.104432,0.17104,0.066608
1.791188,0.094715,0.168572,0.073857
1.800766,0.098044,0.170675,0.072631
1.810345,0.088741,0.163581,0.07484
1.819923,0.110387,0.17551,0.065123
1.829502,0.097947,0.158937,0.06099
1.83908,0.102186,0.165049,0.062863
1.848659,0.099434,0.16448,0.065046
1.858238,0.106448,0.1552,0.048752
1.867816,0.104469,0.172856,0.068387
1.877395,0.102685,0.151991,0.049306
1.886973,0.09412,0.151825,0.057705
1.896552,0.091452,0.13944,0.047988
1.90613,0.087934,0.139066,0.051132
1.915709,0.086277,0.149566,0.063289
1.925287,0.09291,0.151074,0.058164
1.934866,0.093737,0.159168,0.065431
1.944444,0.084592,0.15244,0.067848
1.954023,0.088837,0.149694,0.060857
1.963602,0.090629,0.149722,0.059093
1.97318,0.091941,0.154115,0.062174
