p1,c1
1155,0
1155,0
1155,0
1155,0
1155,0
1155,0
1155,0
1156,1
1156,0
1157,0
1157,0
1158,0
1158,2
1158,1
1159,0
1160,1
1160,3
1160,4
1161,2
1161,5
1162,1
1162,9
1162,9
1163,11
1164,14
1164,18
1164,17
1164,21
1164,21
1164,23
1165,22
1165,24
1165,27
1165,30
1166,29
1166,33
1166,36
1166,39
1167,38
1167,39
1167,40
1168,32
1169,34
1170,32
1170,35
1171,37
1171,39
1171,41
1171,39
1171,43
1171,41
1172,41
1172,45
1173,49
1173,49
1173,52
1173,52
1174,54
1174,51
1175,54
1174,55
1175,56
1175,59
1175,63
1176,56
1178,45
1178,53
1178,57
1178,59
1178,63
1178,62
1178,67
1179,67
1179,71
1180,70
1180,68
1180,69
1181,69
1181,71
1181,72
1181,73
1182,70
1183,72
1182,76
1183,77
1183,78
1183,82
1184,87
1184,83
1186,71
1191,32
1196,9
1198,0
1199,1
1199,0
1199,1
1200,2
1201,1
1201,0
1201,0
1202,0
1203,0
1203,2
1204,0
1203,0
1205,0
1205,0
1206,1
1206,0
1207,1
1207,3
1207,3
1207,0
1209,3
1209,4
1209,5
1210,4
1210,7
1211,12
1211,13
1211,13
1211,16
1211,17
1212,23
1212,21
1212,22
1213,22
1213,27
1213,25
1213,30
1214,28
1214,34
1214,35
1214,37
1215,36
1216,32
1216,35
1216,39
1216,39
1217,41
1217,40
1218,38
1218,37
1219,39
1219,40
1219,44
1220,42
1220,48
1220,47
1220,52
1220,52
1221,52
1221,54
1221,56
1221,58
1222,60
1222,59
1222,61
1222,62
1224,54
1224,58
1225,62
1224,64
1225,68
1224,68
1225,72
1224,72
1225,70
1227,55
1227,78
1227,70
1227,76
1227,77
1227,78
1228,74
1228,81
1228,80
1228,81
1229,84
1229,95
1229,87
1229,90
1230,89
1234,52
1240,19
1244,1
1245,0
1246,1
1246,0
1246,0
1247,0
1247,1
1248,0
1249,1
1249,0
1250,0
1250,0
1251,1
1251,0
1252,4
1252,1
1252,7
1252,6
1253,7
1254,2
1254,8
1254,12
1254,14
1255,14
1255,17
1255,22
1256,22
1257,8
1257,16
1257,19
1258,18
1258,19
1258,22
1259,30
1259,31
1258,28
1259,30
1260,29
1260,36
1261,33
1261,36
1261,35
1261,37
1262,38
1262,42
1262,40
1262,45
1262,47
1262,49
1262,49
1264,32
1265,42
1265,47
1265,46
1265,52
1265,51
1265,56
1266,52
1267,47
1268,50
1268,61
1267,56
1267,60
1268,59
1268,62
