p1,c1
1058,0
1058,0
1058,0
1058,0
1058,0
1058,3
1059,9
1059,8
1059,9
1060,10
1060,15
1060,18
1061,17
1061,21
1061,22
1062,25
1062,25
1062,27
1062,28
1063,26
1063,27
1064,31
1064,30
1064,34
1064,37
1064,41
1064,41
1065,43
1065,43
1065,45
1065,47
1065,51
1066,49
1066,53
1066,54
1066,59
1066,59
1067,61
1067,59
1067,59
1068,62
1068,63
1069,65
1068,69
1069,68
1069,71
1069,72
1069,74
1069,75
1070,81
1070,81
1070,86
1072,77
1075,44
1075,61
1075,66
1075,65
1075,71
1075,72
1075,75
1075,79
1076,85
1075,83
1076,86
1076,85
1076,89
1077,88
1077,94
1077,93
1077,95
1077,96
1077,102
1079,86
1084,52
1090,14
1096,0
1098,-25
1097,-5
1098,-2
1098,0
1098,0
1098,0
1098,0
1098,0
1098,0
1099,1
1099,0
1099,1
1100,0
1100,3
1100,2
1101,5
1101,7
1102,8
1104,0
1103,2
1104,0
1104,5
1104,5
1105,10
1105,9
1106,15
1106,17
1106,19
1106,22
1107,24
1106,24
1107,28
1107,28
1107,33
1108,34
1108,38
1109,36
1110,27
1110,29
1110,33
1111,34
1110,39
1111,39
1111,41
1111,42
1111,45
1111,48
1112,49
1111,52
1112,57
1112,56
1112,58
1112,59
1113,64
1113,62
1113,66
1113,68
1113,71
1114,73
1114,71
1114,72
1114,77
1117,40
1119,53
1119,57
1119,62
1119,62
1119,68
1119,69
1120,69
1120,67
1120,73
1119,73
1120,76
1120,78
1121,81
1122,73
1122,84
1122,80
1122,86
1122,86
1122,89
1122,90
1123,95
1122,96
1123,100
1122,100
1123,104
1124,94
1127,66
1135,18
1142,0
1144,-26
1144,-6
1144,-8
1144,0
1144,0
1144,0
1145,0
1144,0
1144,0
1145,0
1145,0
1146,1
1146,0
1146,2
1146,6
1148,3
1147,4
1148,5
1148,8
1149,10
1150,13
1150,8
1150,6
1151,16
1151,16
1151,22
1151,22
1151,25
1152,17
1153,18
1153,22
1153,26
1154,26
1154,28
1154,28
1154,32
1155,22
1156,33
1155,36
1156,37
1155,39
1156,41
1156,41
1156,46
1157,42
1157,49
1157,49
1157,55
1157,55
1157,58
1158,58
1158,61
1157,62
1158,66
1158,61
1159,67
1158,68
1159,74
1159,74
1159,77
1159,78
1162,43
1164,51
1164,60
1164,61
1163,67
1164,67
1164,73
1164,73
1164,75
1164,77
1164,82
1165,83
1165,86
1164,86
1165,92
1165,91
1165,96
1166,95
1166,97
1166,98
1165,104
