p1,c1
0,0
0.1,0.06278867
0.2,0.125329557
0.3,0.187375854
0.4,0.248682708
0.5,0.309008182
0.6,0.368114215
0.7,0.425767555
0.8,0.481740683
0.9,0.535812714
1,0.587770261
1.1,0.637408284
1.2,0.684530896
1.3,0.728952137
1.4,0.770496706
1.5,0.809000656
1.6,0.844312038
1.7,0.876291503
1.8,0.90481285
1.9,0.929763524
2,0.951045063
2.1,0.968573483
2.2,0.982279611
2.3,0.992109359
2.4,0.998023935
2.5,0.999999999
2.6,0.998029753
2.7,0.992120971
2.8,0.982296972
2.9,0.968596524
3,0.951073694
3.1,0.929797631
3.2,0.904852299
3.3,0.876336138
3.4,0.844361683
3.5,0.809055115
3.6,0.770555764
3.7,0.729015561
3.8,0.684598436
3.9,0.637479673
4,0.587845217
4.1,0.535890942
4.2,0.481821875
4.3,0.425851389
4.4,0.368200361
4.5,0.3090963
4.6,0.24877245
4.7,0.187466866
4.8,0.125421479
4.9,0.062881141
5,9.26536E-05
5.1,-0.062696199
5.2,-0.125237633
5.3,-0.18728484
5.4,-0.248592964
5.5,-0.308920062
5.6,-0.368028066
5.7,-0.425683717
5.8,-0.481659487
5.9,-0.53573448
6,-0.587695299
6.1,-0.637336889
6.2,-0.68446335
6.3,-0.728888706
6.4,-0.770437641
6.5,-0.80894619
6.6,-0.844262386
6.7,-0.876246861
6.8,-0.904773393
6.9,-0.929729409
7,-0.951016424
7.1,-0.968550433
7.2,-0.982262241
7.3,-0.992097738
7.4,-0.998018109
7.5,-0.99999999
7.6,-0.998035562
7.7,-0.992132575
7.8,-0.982314324
7.9,-0.968619557
8,-0.951102316
8.1,-0.92983173
8.2,-0.90489174
8.3,-0.876380766
8.4,-0.844411321
8.5,-0.809109567
8.6,-0.770614816
8.7,-0.729078979
8.8,-0.68466597
8.9,-0.637551057
9,-0.587920169
9.1,-0.535969166
9.2,-0.481903062
9.3,-0.425935219
9.4,-0.368286504
9.5,-0.309184415
9.6,-0.248862189
9.7,-0.187557876
9.8,-0.125513401
9.9,-0.062973611
10,-0.000185307
10.1,0.062603727
10.2,0.125145708
10.3,0.187193826
10.4,0.248503218
10.5,0.308831939
10.6,0.367941914
10.7,0.425599875
10.8,0.481578288
10.9,0.535656243
11,0.587620332
11.1,0.637265489
11.2,0.684395798
11.3,0.728825269
11.4,0.77037857
11.5,0.808891717
11.6,0.844212727
11.7,0.876202211
11.8,0.904733929
11.9,0.929695286
12,0.950987777
12.1,0.968527375
12.2,0.982244863
12.3,0.992086109
12.4,0.998012274
12.5,0.999999973
12.6,0.998041362
12.7,0.99214417
12.8,0.982331669
12.9,0.968642582
13,0.951130931
13.1,0.929865822
13.2,0.904931173
13.3,0.876425386
13.4,0.844460951
13.5,0.809164012
13.6,0.77067386
13.7,0.72914239
13.8,0.684733498
13.9,0.637622435
14,0.587995116
14.1,0.536047385
14.2,0.481984245
14.3,0.426019046
14.4,0.368372643
14.5,0.309272528
14.6,0.248951927
14.7,0.187648884
14.8,0.125605321
14.9,0.06306608
15,0.000277961
15.1,-0.062511255
15.2,-0.125053783
15.3,-0.187102809
15.4,-0.24841347
15.5,-0.308743813
15.6,-0.367855758
15.7,-0.42551603
15.8,-0.481497084
15.9,-0.535578
16,-0.58754536
16.1,-0.637194083
16.2,-0.68432824
16.3,-0.728761826
16.4,-0.770319492
16.5,-0.808837237
16.6,-0.84416306
16.7,-0.876157553
16.8,-0.904694457
16.9,-0.929661155
17,-0.950959122
17.1,-0.968504309
17.2,-0.982227477
17.3,-0.992074471
17.4,-0.998006431
17.5,-0.999999947
17.6,-0.998047154
17.7,-0.992155756
17.8,-0.982349004
17.9,-0.968665598
18,-0.951159537
18.1,-0.929899905
18.2,-0.904970599
18.3,-0.876469998
18.4,-0.844510575
18.5,-0.80921845
18.6,-0.770732899
18.7,-0.729205796
18.8,-0.684801021
18.9,-0.637693808
19,-0.588070058
19.1,-0.5361256
19.2,-0.482065425
19.3,-0.426102869
19.4,-0.36845878
19.5,-0.309360638
19.6,-0.249041662
