,time,c1,c2,c3,c4,p1,p2
0,142847,-2,0,-1,0,1049,2020
1,206852,-2,0,-1,0,1049,2020
2,270829,-2,0,-1,-1,1048,2020
3,334833,0,0,-1,0,1048,2020
4,398834,0,0,-1,-1,1048,2020
5,462835,0,0,-1,-1,1049,2020
6,526856,0,0,-1,-1,1048,2020
7,590807,0,0,-1,0,1050,2020
8,654807,1,0,-1,0,1049,2020
9,718795,0,0,-1,-1,1050,2020
10,782808,2,0,-1,-1,1050,2020
11,846764,9,0,-1,-1,1051,2020
12,910793,11,0,-1,0,1051,2020
13,974788,16,0,-1,0,1051,2020
14,1038799,17,0,-1,0,1051,2020
15,1102968,20,0,-1,-1,1052,2020
16,1167071,20,0,-1,0,1052,2021
17,1230780,22,0,-1,0,1052,2020
18,1294834,23,0,-1,0,1053,2020
19,1358793,23,0,-1,0,1053,2020
20,1422822,25,0,-1,0,1053,2020
21,1486886,32,0,-1,-1,1054,2020
22,1550767,23,0,-1,0,1055,2020
23,1614795,24,0,-1,-1,1054,2020
24,1678746,28,0,-1,0,1055,2020
25,1742750,30,0,-1,0,1055,2020
26,1806732,34,0,-1,-1,1055,2020
27,1870750,38,0,-1,-2,1055,2020
28,1934739,36,0,-1,-1,1055,2020
29,1998764,41,0,-1,-1,1055,2020
30,2062720,39,0,-1,0,1055,2020
31,2126788,42,0,-1,-2,1056,2020
32,2190754,36,1,-1,-2,1057,2019
33,2254740,36,1,-1,-2,1058,2020
34,2318683,38,1,-1,-2,1058,2020
35,2382683,41,1,-1,-2,1058,2020
36,2446726,35,6,-1,-2,1059,2019
37,2510693,42,3,-1,-2,1059,2020
38,2574714,44,5,-1,-2,1059,2020
39,2638653,45,8,-1,-2,1060,2020
40,2702754,46,4,-1,-2,1060,2020
41,2766712,53,1,-1,-2,1059,2019
42,2830690,53,3,-1,-2,1060,2019
43,2894702,55,7,-1,-3,1060,2020
44,2958697,51,1,-1,-3,1061,2019
45,3022707,57,6,-1,-3,1061,2020
46,3086680,58,5,-1,-3,1061,2019
47,3150668,63,6,-1,-3,1061,2019
48,3214703,60,4,-1,-3,1061,2019
49,3278662,61,1,-1,-3,1062,2019
50,3342663,63,4,-1,-3,1062,2019
51,3406700,68,5,-1,-3,1062,2019
52,3470642,66,6,-1,-3,1062,2019
53,3534695,59,4,-1,-4,1064,2019
54,3598684,62,7,-1,-6,1064,2019
55,3662659,64,5,-1,-4,1065,2019
56,3726643,65,5,0,-4,1065,2019
57,3790641,66,6,0,-4,1065,2019
58,3854647,69,5,0,-4,1065,2019
59,3918672,73,6,0,-4,1065,2019
60,3982645,71,5,0,-5,1066,2019
61,4046641,72,5,0,-5,1066,2019
62,4110632,69,5,4,-4,1067,2019
63,4174587,73,7,9,-4,1067,2019
64,4238623,75,4,10,-4,1067,2019
65,4302631,78,6,10,-8,1068,2019
66,4366624,80,6,11,-5,1068,2019
67,4430630,82,5,13,-4,1068,2019
68,4494652,82,7,12,-5,1068,2019
69,4558594,79,6,13,-4,1069,2019
70,4622585,72,11,13,-5,1071,2018
71,4686568,48,19,13,-5,1073,2017
72,4750588,19,17,12,-4,1078,2017
73,4814603,0,10,3,-4,1083,2019
74,4878589,-36,-5,1,-1,1087,2020
75,4958604,-11,-33,0,-1,1087,2019
76,5022581,-5,-31,0,0,1086,2019
77,5086576,-3,-32,0,-1,1087,2019
78,5150578,-2,-32,0,0,1087,2019
79,5230533,-1,28,0,-2,1087,2021
80,5294570,-10,25,0,0,1089,2021
81,5358547,-7,25,0,0,1089,2021
82,5422556,-4,25,0,0,1089,2021
83,5486537,-3,24,0,0,1089,2021
84,5550561,-2,24,0,0,1089,2021
85,5614565,0,24,0,0,1089,2021
86,5678519,0,24,0,0,1089,2021
87,5742521,0,25,1,0,1090,2021
88,5806527,0,24,0,0,1090,2021
89,5870539,0,24,0,0,1091,2021
90,5934526,0,24,0,0,1091,2021
91,5998539,0,24,0,0,1091,2021
92,6062522,0,24,0,0,1092,2021
93,6126517,2,25,0,0,1092,2021
94,6190537,1,24,0,0,1092,2021
95,6254511,3,25,0,0,1093,2021
96,6318540,7,25,0,0,1093,2021
97,6382489,15,26,0,0,1094,2021
98,6446491,14,26,0,0,1094,2021
99,6510475,17,24,0,0,1094,2021
100,6574491,10,25,0,0,1095,2021
101,6638480,7,25,0,0,1096,2021
102,6702528,4,25,1,0,1096,2021
103,6766470,10,25,0,0,1096,2021
104,6830500,13,24,0,0,1097,2021
105,6894506,17,24,0,0,1097,2021
106,6958450,20,24,0,0,1097,2021
107,7022479,22,24,0,0,1097,2021
108,7086468,22,25,0,0,1097,2021
109,7150410,24,25,2,0,1098,2021
110,7214448,25,24,0,0,1098,2021
111,7278408,34,24,0,0,1099,2021
112,7342435,30,22,0,0,1099,2021
113,7406496,32,25,0,0,1099,2021
114,7470440,35,25,0,0,1099,2021
115,7534448,38,26,3,0,1099,2021
116,7598479,38,24,0,0,1099,2021
117,7662429,39,25,0,0,1100,2021
118,7726395,30,24,0,0,1101,2021
119,7790456,30,23,0,-1,1101,2021
120,7854445,34,25,0,0,1102,2021
121,7918459,37,26,0,-1,1102,2021
122,7982409,38,24,0,-2,1102,2021
123,8046438,43,24,0,-1,1102,2021
124,8110445,44,24,1,-2,1102,2021
125,8174408,46,25,0,-1,1103,2021
126,8238431,40,22,0,-2,1103,2021
127,8302421,47,4,0,-2,1103,2021
128,8366399,48,24,0,-2,1104,2021
129,8430399,53,24,2,-2,1104,2021
130,8494363,53,24,0,-2,1104,2021
131,8558392,57,25,2,-2,1104,2021
132,8622370,58,24,1,-2,1104,2021
133,8686362,61,25,1,-2,1104,2021
134,8750372,56,25,3,-3,1105,2021
135,8814364,48,26,4,-3,1106,2021
136,8878359,54,28,4,-3,1107,2020
137,8942358,61,24,0,-3,1107,2021
138,9006352,60,28,0,-3,1106,2021
139,9070366,62,29,12,-3,1107,2021
140,9134361,63,28,0,-3,1107,2020
141,9198348,67,26,3,-3,1107,2021
142,9262299,69,24,7,-3,1107,2021
143,9326342,72,28,7,-3,1107,2021
144,9390352,73,30,8,-3,1108,2020
145,9454299,77,29,4,-3,1108,2021
146,9518270,77,25,10,-3,1108,2020
147,9582312,79,28,9,-3,1108,2020
148,9646311,79,27,13,-3,1109,2020
149,9710337,83,29,8,-3,1109,2020
150,9774372,83,28,10,-3,1109,2020
151,9838288,87,26,11,-3,1109,2020
