Timestamp,c1,Current2,Current3,Current4,p1,Position2
3520076,0,-1,-1,-3,1069,2015
3584010,0,-1,-1,-3,1069,2015
3648004,0,-1,-1,-3,1069,2015
3712042,5,-1,-1,-3,1070,2015
3775952,0,-1,-1,-2,1070,2015
3840033,0,-1,-1,-2,1071,2015
3903979,2,-1,-1,-2,1070,2015
3968007,6,-1,-1,-1,1071,2015
4032022,5,-1,-1,-2,1071,2015
4095930,5,-1,-1,-3,1072,2015
4160006,7,-1,-1,-2,1072,2015
4224009,13,-1,-1,-2,1072,2015
4288004,12,-1,-1,-2,1072,2015
4351975,18,-1,-1,-2,1072,2015
4415976,17,-1,-1,-2,1072,2015
4479993,18,-1,-1,-2,1073,2015
4543985,37,-1,-1,-2,1076,2018
4607953,-6,-21,-1,-2,1078,2018
4671883,-5,-22,-1,-1,1078,2018
4735922,0,-23,-1,-2,1078,2018
4799898,0,-21,-1,-2,1078,2018
4863925,1,-24,-1,-2,1079,2018
4927946,0,-21,-1,-2,1079,2018
4991889,6,-25,-1,-2,1079,2018
5055926,2,-26,-1,-2,1079,2018
5119886,6,-25,-1,-2,1080,2018
5183938,4,-26,-1,-2,1080,2017
5247907,6,-25,-1,-2,1081,2018
5311872,0,-29,-1,0,1083,2019
5375890,-9,-34,-1,-2,1084,2020
5439942,0,-33,-1,-2,1083,2019
5503894,5,-39,-1,-3,1084,2019
5567891,0,-44,-1,-2,1084,2020
5631851,4,-35,-1,-2,1085,2020
5695923,0,-37,-1,-3,1084,2019
5759836,0,-40,-1,-2,1086,2019
5823886,0,-45,-1,-2,1086,2019
5887896,6,-44,-1,-3,1086,2020
5951899,0,-43,-1,-3,1088,2020
6015869,1,-51,-1,-2,1087,2020
6079924,0,-51,-1,-2,1088,2020
6143909,5,-50,-1,-1,1089,2020
6207881,0,-52,-1,-1,1089,2020
6271868,8,-51,-1,0,1089,2020
6335890,1,-51,-1,-1,1090,2020
6399850,33,-50,-1,-2,1091,2020
6463801,1,-52,-1,-2,1091,2020
6527868,10,-50,-1,0,1091,2020
6591842,3,-52,-1,-2,1092,2020
6655862,-1,-51,-1,-2,1092,2020
6719772,0,-51,-1,-2,1093,2020
6783775,5,-52,-1,0,1093,2020
6847771,5,-51,-1,-2,1093,2020
6911749,10,-51,-1,-2,1093,2020
6975754,11,-51,-1,-2,1093,2020
7039774,12,-51,-1,-2,1094,2020
7103756,11,-51,-1,-1,1094,2020
7167727,12,-51,-1,0,1095,2020
7231750,12,-44,-1,-3,1095,2020
7295770,12,-43,-1,-2,1096,2020
7359756,-10,-37,-1,-2,1098,2019
7423740,4,-40,-1,-3,1099,2020
7487752,-22,-35,-1,-3,1098,2020
7551799,13,-36,-1,-3,1098,2019
7615701,11,-43,-1,-3,1098,2020
7679720,12,-34,-1,-3,1099,2019
7743747,10,-42,-1,-3,1099,2020
7807716,17,-49,-1,-3,1099,2019
7871710,18,-39,-1,-3,1099,2020
7935797,18,-38,-1,-3,1100,2019
7999689,17,-45,-1,-3,1100,2020
8063683,25,-33,-1,-3,1100,2019
