x,y
1017,-1
1017,0
1017,0
1017,0
1017,0
1018,2
1018,1
1018,7
1019,7
1019,13
1019,14
1019,17
1020,17
1020,20
1020,21
1020,22
1020,25
1021,25
1024,0
1024,7
1024,12
1024,13
1025,17
1025,17
1026,7
1027,7
1027,13
1027,18
1028,14
1029,12
1029,5
1030,5
1030,12
1031,18
1031,4
1032,8
1032,13
1032,16
1034,0
1034,7
1034,12
1035,16
1034,15
1035,18
1036,9
1036,14
1037,12
1037,13
1038,13
1038,16
1039,14
1039,15
1039,16
1041,11
1041,14
1041,16
1042,20
1042,19
1042,19
1043,5
1043,16
1044,18
1045,13
1045,15
1046,9
1046,15
1046,18
1047,23
1048,15
1049,10
1049,1
1050,7
1050,13
1050,17
1050,20
1050,23
1050,25
1051,26
1053,9
1055,2
1054,8
1055,14
1055,14
1055,16
1055,18
1055,20
1057,11
1057,14
1058,17
1058,11
1060,1
1060,9
1060,12
1060,16
1060,15
1061,18
1061,18
1063,9
1064,0
1064,5
1065,9
1064,16
1065,18
1065,15
1067,5
1067,8
1067,12
1067,16
1068,8
1069,13
1070,8
1070,15
1069,14
1070,19
1070,21
1071,22
1070,24
1073,8
1073,5
1074,6
1074,12
1075,13
1075,10
1075,14
1076,11
1076,16
1077,8
1078,10
1078,13
1078,16
1079,11
1079,15
1080,7
1081,9
1081,13
1081,18
1081,19
1082,21
1083,14
1084,7
1084,13
1084,17
1084,18
1085,21
1085,21
1085,23
1087,10
1088,7
1088,13
1088,18
1088,17
1089,16
1090,7
1091,13
1091,14
1091,18
1091,20
1092,22
1093,11
1093,17
1093,20
1094,25
1095,10
1096,14
1095,14
1096,22
1096,22
1096,23
1096,24
1097,24
1098,11
1099,17
1099,20
1100,24
1100,13
1101,13
1102,15
1102,21
1102,21
1102,22
1102,25
1104,14
1105,11
1105,14
1106,17
1106,18
1106,20
1106,23
1107,20
1108,14
1108,20
1109,24
1109,21
1109,24
1110,17
1111,20
1111,21
1112,17
1113,10
1113,16
1113,16
1114,20
1114,21
1114,23
1114,25
1114,29
1116,9
1118,12
1117,17
1118,20
1118,22
1118,23
1119,12
1120,16
1120,21
1120,24
1120,25
1120,29
1121,28
1122,17
1124,12
1125,12
1125,16
1125,20
1125,21
1125,22
1126,19
1126,22
1127,23
1127,25
1128,14
1129,18
1129,21
1129,22
1130,24
1131,16
1132,16
1132,18
1132,21
1132,22
1133,15
1134,16
1134,14
1135,17
1135,21
1135,21
1136,19
1137,14
1138,14
1138,18
