,time,c1,c2,c3,c4,p1,p2
0,159812,-1,0,0,-2,1100,2023
1,223807,-1,0,0,-2,1100,2023
2,287807,-1,0,0,-2,1100,2023
3,351749,0,0,0,-2,1100,2023
4,415740,0,0,0,-2,1100,2023
5,479790,0,0,0,-2,1100,2023
6,543806,3,0,0,-1,1101,2023
7,607826,3,0,0,-2,1101,2023
8,671833,9,0,0,-2,1101,2023
9,735772,8,0,0,-2,1102,2023
10,799819,12,0,0,0,1102,2023
11,863780,16,1,0,-1,1102,2023
12,927768,17,0,0,-2,1103,2023
13,991785,21,0,0,-1,1103,2023
14,1055763,21,0,0,-2,1103,2023
15,1119779,22,0,0,-2,1103,2023
16,1183742,22,2,0,-2,1103,2023
17,1247723,22,0,0,-2,1104,2023
18,1311731,12,0,0,-3,1106,2023
19,1375736,17,0,0,-3,1106,2023
20,1439761,21,0,0,-3,1106,2023
21,1503692,23,0,0,-3,1106,2023
22,1567696,22,0,0,-3,1106,2022
23,1631725,19,0,0,-3,1107,2023
24,1695718,22,0,0,-3,1108,2023
25,1759730,25,0,0,-3,1108,2023
26,1823711,26,0,0,-3,1108,2023
27,1887727,29,0,0,-6,1108,2022
28,1951707,26,0,0,-8,1108,2023
29,2015723,32,1,0,-7,1109,2023
30,2079709,35,2,0,-6,1109,2023
31,2143730,37,0,0,-8,1109,2023
32,2207723,38,2,0,-5,1109,2023
33,2271708,42,0,0,-8,1110,2023
34,2335705,40,0,0,-6,1110,2023
35,2399664,43,0,0,-7,1110,2023
36,2463682,43,0,0,-7,1111,2023
37,2527705,48,4,0,-9,1111,2023
38,2591687,45,0,0,-5,1111,2023
39,2655690,50,0,0,-8,1111,2023
40,2719709,49,7,0,-8,1112,2023
41,2783672,43,2,0,-10,1113,2022
42,2847721,45,0,0,-8,1113,2023
43,2911673,53,5,0,-7,1113,2022
44,2975644,52,4,0,-9,1113,2022
45,3039680,56,1,0,-11,1113,2022
46,3103672,55,5,0,-10,1113,2023
47,3167652,61,4,0,-11,1113,2022
48,3231667,60,5,0,-8,1114,2022
49,3295615,62,7,0,-8,1113,2022
50,3359665,63,4,0,-6,1114,2022
51,3423649,65,6,0,-12,1115,2022
52,3487638,58,4,0,-9,1116,2022
53,3551641,71,2,0,-9,1116,2022
54,3615636,59,6,0,-9,1116,2022
55,3679613,61,7,4,-10,1117,2022
56,3743634,64,5,0,-12,1117,2022
57,3807594,69,6,6,-11,1117,2022
58,3871608,71,6,5,-10,1117,2022
59,3935594,72,4,5,-9,1117,2022
60,3999593,72,6,9,-9,1118,2022
61,4063596,75,6,4,-12,1118,2022
62,4127639,76,5,11,-10,1118,2022
63,4191610,80,6,12,-12,1118,2022
64,4255578,82,6,13,-10,1118,2022
65,4319613,87,6,8,-10,1118,2022
66,4383588,84,4,5,-10,1118,2022
67,4447575,68,8,9,-7,1121,2021
68,4511611,72,13,15,-9,1122,2021
69,4575567,73,11,17,-12,1122,2021
70,4639596,74,10,6,-12,1122,2020
71,4703566,76,12,9,-13,1123,2021
72,4767583,78,13,12,-14,1122,2021
73,4831562,82,14,16,-13,1123,2021
74,4895556,80,13,17,-10,1123,2021
75,4959548,86,12,11,-14,1124,2021
76,5023551,86,11,16,-14,1123,2021
77,5087550,88,14,12,-13,1124,2021
78,5151532,88,15,12,-14,1124,2020
79,5215532,43,25,14,-13,1129,2019
80,5279523,1,26,15,-6,1136,2020
81,5343486,-20,4,0,0,1143,2023
82,5407495,-14,6,0,0,1142,2022
83,5471513,-11,3,0,2,1143,2022
84,5535535,-10,2,0,0,1143,2022
85,5599498,-4,1,0,1,1143,2023
86,5663534,-2,2,0,0,1143,2023
87,5727525,-1,2,0,0,1143,2022
88,5791503,-1,5,0,0,1143,2023
89,5855478,0,2,0,2,1143,2023
90,5919488,0,3,0,0,1144,2023
91,5983569,0,3,0,0,1144,2023
92,6047490,0,1,0,0,1144,2022
93,6111502,0,3,0,0,1145,2023
94,6175486,0,0,0,1,1145,2023
95,6239482,0,2,0,0,1145,2023
96,6303440,1,7,0,1,1146,2023
97,6367470,0,0,0,0,1148,2023
98,6431472,-1,0,0,0,1148,2023
99,6495409,0,0,0,0,1148,2023
100,6559486,0,0,0,0,1148,2023
101,6623472,0,0,0,0,1149,2023
102,6687415,0,0,0,0,1149,2023
103,6751449,3,0,0,0,1149,2023
104,6815440,1,0,0,0,1149,2023
105,6879468,2,0,0,0,1149,2024
106,6943449,4,0,0,0,1150,2023
107,7007447,6,1,0,0,1151,2023
108,7071438,5,0,0,0,1151,2023
109,7135445,10,0,0,0,1152,2023
110,7199447,13,0,0,0,1152,2023
111,7263431,17,0,0,0,1152,2023
112,7327462,15,0,0,0,1153,2023
113,7391409,18,0,0,0,1153,2023
114,7455411,21,0,0,0,1153,2023
115,7519442,23,0,0,0,1154,2023
116,7583404,24,0,0,0,1154,2023
117,7647417,12,0,0,0,1155,2023
118,7711431,12,0,0,-3,1156,2023
119,7775383,18,0,0,-4,1156,2023
120,7839400,17,-1,0,-7,1156,2023
121,7903384,20,0,0,-4,1156,2023
122,7967385,22,0,0,-6,1157,2023
123,8031407,25,0,0,-4,1157,2023
124,8095383,25,0,0,-4,1157,2023
125,8159368,29,0,0,-5,1158,2023
126,8223377,27,0,0,-5,1158,2023
127,8287353,32,0,0,-7,1158,2023
128,8351366,31,0,0,-7,1159,2023
129,8415385,31,0,0,-9,1159,2023
130,8479360,30,0,0,-7,1159,2023
131,8543396,33,0,0,-7,1160,2023
132,8607400,35,0,0,-9,1160,2023
133,8671350,37,0,0,-8,1160,2023
134,8735324,39,0,0,-6,1160,2023
135,8799318,43,0,0,-6,1160,2023
136,8863334,41,0,2,-10,1160,2023
137,8927339,46,0,0,-6,1161,2023
138,8991322,45,0,0,-6,1161,2023
139,9055309,49,0,0,-9,1161,2023
140,9119340,49,0,0,-6,1162,2023
141,9183306,48,0,0,-6,1162,2023
142,9247307,44,0,0,-8,1163,2023
143,9311319,52,0,0,-11,1164,2023
144,9375303,48,0,0,-11,1164,2023
145,9439284,52,5,0,-11,1164,2023
146,9503290,52,0,0,-11,1163,2023
147,9567310,57,4,0,-7,1164,2023
148,9631310,57,0,0,-12,1164,2023
149,9695386,59,2,2,-11,1164,2022
150,9759271,61,0,0,-10,1165,2023
151,9823272,56,5,0,-12,1165,2023
152,9887292,61,2,0,-10,1165,2022
153,9951271,64,3,0,-12,1166,2023
154,10015277,64,1,1,-13,1166,2022
155,10079271,68,6,0,-14,1166,2023
156,10143276,70,8,0,-13,1166,2022
157,10207232,73,2,2,-13,1166,2022
158,10271249,72,3,5,-13,1167,2022
159,10335244,72,6,5,-11,1168,2022
160,10399257,72,4,3,-13,1168,2022
161,10463318,78,6,3,-11,1168,2022
162,10527296,76,5,2,-10,1168,2022
163,10591294,81,5,5,-10,1168,2022
164,10655248,77,5,3,-9,1169,2022
165,10719236,79,8,6,-13,1169,2022
166,10783245,77,11,7,-14,1170,2022
167,10847225,75,5,12,-14,1171,2022
168,10911259,77,7,3,-14,1171,2021
169,10975219,82,5,6,-13,1171,2022
170,11039231,84,7,4,-11,1171,2022
171,11103215,85,6,17,-13,1171,2022
172,11167174,86,4,18,-14,1171,2022
173,11231227,92,6,9,-12,1171,2021
174,11295170,92,4,11,-12,1171,2022
175,11359194,98,4,12,-14,1171,2022
176,11423208,97,6,12,-14,1172,2021
177,11487183,99,3,10,-12,1172,2022
178,11551196,104,12,10,-13,1171,2022
179,11615188,104,4,10,-15,1172,2022
180,11679195,100,9,16,-12,1173,2021
181,11743193,68,19,12,-14,1177,2020
182,11807163,27,27,16,-9,1183,2020
183,11871136,1,17,11,-5,1190,2021
184,11935181,-33,0,0,6,1195,2023
185,12015153,-6,83,0,0,1193,2021
186,12079176,-6,-24,0,3,1194,2021
187,12143185,-4,-26,0,1,1193,2021
188,12207163,-2,-30,0,3,1193,2021
189,12287150,-1,27,0,4,1194,2023
190,12351170,-9,25,0,0,1195,2023
191,12415130,-4,25,0,4,1195,2023
192,12479169,-2,25,0,2,1196,2023
193,12543141,-1,24,0,1,1196,2023
194,12607124,-1,25,0,3,1196,2023
195,12671124,0,24,0,1,1196,2023
196,12735127,0,25,0,1,1196,2023
197,12799111,0,24,0,2,1197,2023
198,12863123,1,25,0,0,1197,2023
199,12927092,0,23,0,0,1197,2023
200,12991064,5,25,0,0,1198,2023
201,13055105,2,24,0,2,1198,2023
202,13119132,6,24,0,1,1199,2023
203,13183089,4,2,0,4,1199,2023
204,13247097,8,24,0,0,1199,2023
205,13311088,-1,20,0,0,1202,2023
206,13375086,0,18,0,0,1202,2024
207,13439076,0,27,0,0,1202,2023
208,13503096,3,19,0,0,1201,2024
209,13567071,1,22,0,0,1202,2023
210,13631100,2,18,0,0,1202,2023
211,13695075,5,23,0,0,1203,2024
212,13759165,4,27,0,0,1204,2024
213,13823060,8,21,0,0,1204,2023
214,13887083,12,24,0,0,1204,2024
215,13951077,16,17,0,0,1204,2023
216,14015045,15,22,0,0,1204,2023
217,14079067,20,27,0,0,1205,2024
218,14143078,20,23,0,0,1205,2023
219,14207045,22,19,0,0,1205,2023
220,14271024,29,21,0,0,1205,2024
221,14335060,27,19,0,0,1206,2024
222,14399031,27,21,0,0,1206,2023
223,14463039,31,26,0,0,1206,2023
224,14527042,29,24,0,0,1206,2023
225,14591040,18,19,0,-3,1209,2024
226,14655031,21,19,0,-4,1209,2024
227,14719016,23,18,0,-11,1209,2024
228,14783016,25,21,0,-11,1209,2024
229,14847011,27,21,0,-12,1209,2024
230,14911004,28,17,0,-10,1209,2023
231,14975052,32,18,0,-12,1210,2024
232,15039035,35,21,0,-8,1210,2023
233,15103049,29,18,0,-11,1211,2023
234,15166998,32,22,0,-9,1212,2023
235,15231001,35,23,0,-12,1211,2023
236,15294983,36,21,0,-10,1212,2023
237,15358963,38,17,0,-9,1212,2024
238,15422987,39,18,0,-11,1212,2023
239,15486991,41,22,0,-8,1212,2024
240,15550980,43,25,0,-10,1213,2024
241,15615012,44,25,0,-13,1213,2024
242,15678976,41,24,0,-7,1213,2024
243,15742982,45,22,0,-12,1214,2023
244,15806960,44,24,0,-10,1214,2023
245,15870948,48,24,0,-9,1214,2023
246,15934985,49,25,0,-13,1215,2023
247,15998964,49,24,0,-13,1215,2023
248,16062953,51,25,0,-7,1215,2023
249,16126960,55,25,0,-10,1216,2023
