,time,c1,c2,c3,c4,p1,p2
0,144235,0,-2,0,-2,1062,2021
1,224255,0,1,0,-1,1062,2021
2,304260,0,-1,0,0,1062,2021
3,384226,0,2,0,0,1061,2021
4,464215,0,-1,0,-1,1061,2021
5,544217,0,1,0,-1,1061,2021
6,624237,0,-1,0,-2,1061,2021
7,704245,0,0,0,-1,1062,2021
8,784199,0,-1,0,0,1062,2021
9,864201,0,0,0,-1,1062,2021
10,944189,6,-1,0,-2,1062,2020
11,1024206,7,-1,0,0,1063,2021
12,1104178,11,0,0,-2,1063,2021
13,1184204,12,-1,0,-2,1063,2021
14,1264197,13,-1,0,-2,1063,2021
15,1344207,14,-1,0,-1,1063,2021
16,1424166,16,-1,0,-1,1064,2021
17,1504154,19,-1,0,-2,1064,2021
18,1584159,16,-1,0,0,1064,2021
19,1664217,22,-2,0,0,1064,2021
20,1744143,22,-2,0,-2,1064,2021
21,1824162,22,-2,0,-1,1064,2021
22,1904184,23,-2,0,-2,1064,2021
23,1984145,23,-2,0,-1,1064,2021
24,2064151,24,-2,0,-2,1065,2021
25,2144139,29,0,0,-2,1065,2021
26,2224137,29,-13,0,-1,1064,2021
27,2304114,28,-8,0,-2,1065,2020
28,2384140,32,-5,0,-1,1065,2020
29,2464150,36,-19,0,-2,1065,2021
30,2544137,22,-7,0,-2,1066,2020
31,2624095,28,-6,0,-3,1067,2021
32,2704168,28,-5,0,-3,1066,2020
33,2784098,30,-13,0,-3,1067,2020
34,2864080,35,-9,0,-3,1067,2020
35,2944083,37,-13,0,-3,1066,2021
36,3024092,36,-6,0,-3,1067,2020
37,3104101,38,-15,0,-3,1067,2020
38,3184126,38,-8,0,-3,1068,2021
39,3264060,26,-3,0,-5,1069,2020
40,3344081,33,-5,0,-4,1069,2020
41,3424071,35,-20,0,-4,1069,2020
42,3504064,34,-6,0,-3,1070,2020
43,3584076,37,-11,0,-5,1070,2020
44,3664057,37,-13,0,-5,1070,2020
45,3744069,39,-12,0,-4,1069,2020
46,3824022,43,-13,0,-4,1070,2020
47,3904134,41,-23,0,-4,1070,2020
48,3984051,41,-7,0,-4,1070,2020
49,4064041,43,-10,0,-4,1070,2020
50,4144038,32,-17,0,-6,1071,2020
51,4224008,36,-6,0,-5,1072,2020
52,4304076,42,-10,0,-5,1072,2019
53,4384034,41,-23,0,-8,1072,2019
54,4463996,41,-10,0,-5,1072,2019
55,4543997,45,-18,0,-5,1072,2019
56,4624030,45,-14,0,-6,1072,2019
57,4703969,46,-23,0,-5,1072,2019
58,4783970,50,-9,0,-9,1073,2019
59,4864013,49,-24,0,-6,1072,2019
60,4943991,50,-14,0,-9,1072,2019
61,5023950,52,-25,0,-5,1073,2019
62,5103998,51,-13,0,-6,1073,2019
63,5184009,52,-27,0,-5,1073,2019
64,5263965,55,-15,0,-5,1073,2019
65,5343991,55,-24,0,-7,1073,2019
66,5423989,55,-14,1,-5,1073,2019
67,5503955,56,-25,3,-7,1074,2019
68,5583947,44,-24,2,-6,1076,2019
69,5663987,46,-5,0,-8,1076,2019
70,5743948,53,-12,2,-5,1076,2019
71,5823989,53,-26,0,-6,1076,2019
72,5903980,53,-12,5,-8,1076,2019
73,5983932,55,-25,0,-5,1077,2019
74,6063949,54,-10,7,-6,1077,2018
75,6143934,54,-35,11,-5,1077,2018
76,6223930,53,-8,9,-6,1077,2018
77,6303921,53,-20,3,-5,1078,2018
78,6383939,40,-22,0,-5,1079,2018
79,6463890,37,-3,7,-7,1081,2017
80,6543901,34,-10,8,-5,1082,2017
81,6623892,18,-8,5,-5,1083,2016
82,6703898,25,-4,2,-4,1084,2017
83,6783946,26,-6,0,-5,1085,2017
84,6863897,24,-10,1,-4,1084,2016
85,6943885,33,-6,2,-5,1085,2016
