p1,c1
0,-33.932
0,-33.932
0,-33.932
0,-33.932
0,-33.932
0,-33.932
0,-33.932
1,-32.932
1,-33.932
2,-33.932
2,-33.932
3,-33.932
3,-31.932
3,-32.932
4,-33.932
5,-32.932
5,-30.932
5,-29.932
6,-31.932
6,-28.932
7,-32.932
7,-24.932
7,-24.932
8,-22.932
9,-19.932
9,-15.932
9,-16.932
9,-12.932
9,-12.932
9,-10.932
10,-11.932
10,-9.932
10,-6.932
10,-3.932
11,-4.932
11,-0.932
11,2.068
11,5.068
12,4.068
12,5.068
12,6.068
13,-1.932
14,0.068
15,-1.932
15,1.068
16,3.068
16,5.068
16,7.068
16,5.068
16,9.068
16,7.068
17,7.068
17,11.068
18,15.068
18,15.068
18,18.068
18,18.068
19,20.068
19,17.068
20,20.068
19,21.068
20,22.068
20,25.068
20,29.068
21,22.068
23,11.068
23,19.068
23,23.068
23,25.068
23,29.068
23,28.068
23,33.068
24,33.068
24,37.068
25,36.068
25,34.068
25,35.068
26,35.068
26,37.068
26,38.068
26,39.068
27,36.068
28,38.068
27,42.068
28,43.068
28,44.068
28,48.068
29,53.068
29,49.068
31,37.068
36,-1.932
41,-24.932
43,-33.932
44,-32.932
44,-33.932
44,-32.932
45,-31.932
46,-32.932
46,-33.932
46,-33.932
47,-33.932
48,-33.932
48,-31.932
49,-33.932
48,-33.932
50,-33.932
50,-33.932
51,-32.932
51,-33.932
52,-32.932
52,-30.932
52,-30.932
52,-33.932
54,-30.932
54,-29.932
54,-28.932
55,-29.932
55,-26.932
56,-21.932
56,-20.932
56,-20.932
56,-17.932
56,-16.932
57,-10.932
57,-12.932
57,-11.932
58,-11.932
58,-6.932
58,-8.932
58,-3.932
59,-5.932
59,0.068
59,1.068
59,3.068
60,2.068
61,-1.932
61,1.068
61,5.068
61,5.068
62,7.068
62,6.068
63,4.068
63,3.068
64,5.068
64,6.068
64,10.068
65,8.068
65,14.068
65,13.068
65,18.068
65,18.068
66,18.068
66,20.068
66,22.068
66,24.068
67,26.068
67,25.068
67,27.068
67,28.068
69,20.068
69,24.068
70,28.068
69,30.068
70,34.068
69,34.068
70,38.068
69,38.068
70,36.068
72,21.068
72,44.068
72,36.068
72,42.068
72,43.068
72,44.068
73,40.068
73,47.068
73,46.068
73,47.068
74,50.068
74,61.068
74,53.068
74,56.068
75,55.068
79,18.068
85,-14.932
89,-32.932
90,-33.932
91,-32.932
91,-33.932
91,-33.932
92,-33.932
92,-32.932
93,-33.932
94,-32.932
94,-33.932
95,-33.932
95,-33.932
96,-32.932
96,-33.932
97,-29.932
97,-32.932
97,-26.932
97,-27.932
98,-26.932
99,-31.932
99,-25.932
99,-21.932
99,-19.932
100,-19.932
100,-16.932
100,-11.932
101,-11.932
102,-25.932
102,-17.932
102,-14.932
103,-15.932
103,-14.932
103,-11.932
104,-3.932
104,-2.932
103,-5.932
104,-3.932
105,-4.932
105,2.068
106,-0.932
106,2.068
106,1.068
106,3.068
107,4.068
107,8.068
107,6.068
107,11.068
107,13.068
107,15.068
107,15.068
109,-1.932
110,8.068
110,13.068
110,12.068
110,18.068
110,17.068
110,22.068
111,18.068
112,13.068
113,16.068
113,27.068
112,22.068
112,26.068
113,25.068
113,28.068
